Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
HRTC - 591,A/C Executive (2+3),21:00,07:20,10h 20m,INR 632,37 Seats available,"3.9
52",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 8,Himsuta AC Seater Volvo/Scania 2+2,21:02,06:30,09h 28m,INR 912,11 Seats available,"4.3
89",https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-shimla,Delhi to Shimla
HRTC - 3,Himsuta AC Seater Volvo/Scania 2+2,21:00,06:00,09h 00m,INR 912,33 Seats available,"4.6
65",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
HRTC - 108,A/C Executive (2+3),21:20,06:52,09h 32m,INR 632,29 Seats available,"3.8
32",https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
,,,,,,,,https://www.redbus.in/bus-tickets/shimla-to-delhi,Shimla to Delhi
HRTC - 557,Ordinary 3+2 Non AC Seater,20:15,01:30,05h 15m,INR 290,33 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 597,Himsuta AC Seater Volvo/Scania 2+2,20:35,01:30,04h 55m,INR 543,13 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 563,Ordinary 3+2 Non AC Seater,20:50,02:15,05h 25m,INR 290,36 Seats available,3.9,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/delhi-to-chandigarh,Delhi to Chandigarh
HRTC - 803,Ordinary 3+2 Non AC Seater,20:30,06:00,09h 30m,INR 564,30 Seats available,3.9,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 732,Himsuta AC Seater Volvo/Scania 2+2,21:00,04:20,07h 20m,INR 965,31 Seats available,"3.8
26",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 701,Ordinary 3+2 Non AC Seater,21:30,05:30,08h 00m,INR 575,31 Seats available,"4.3
9",https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
HRTC - 713,,22:00,06:00,08h 00m,INR 965,,4.2,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
,,,,,,,,https://www.redbus.in/bus-tickets/manali-to-chandigarh,Manali to Chandigarh
